Mã,Tên,Tên Tiếng Anh,Cấp,Mã QH,Quận Huyện,Mã TP,Tỉnh / Thành Phố
1,Phường Phúc Xá,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
4,Phường Trúc Bạch,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
6,Phường Vĩnh Phúc,Vinh Phuc Commune,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
7,Phường Cống Vị,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
8,Phường Liễu Giai,Lieu Giai Commune,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
10,Phường Nguyễn Trung Trực,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
13,Phường Quán Thánh,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
16,Phường Ngọc Hà,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
19,Phường Điện Biên,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
22,Phường Đội Cấn,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
25,Phường Ngọc Khánh,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
28,Phường Kim Mã,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
31,Phường Giảng Võ,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
34,Phường Thành Công,,Phường,1,Quận Ba Đình,1,Thành phố Hà Nội
37,Phường Phúc Tân,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
40,Phường Đồng Xuân,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
43,Phường Hàng Mã,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
46,Phường Hàng Buồm,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
49,Phường Hàng Đào,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
52,Phường Hàng Bồ,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
55,Phường Cửa Đông,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
58,Phường Lý Thái Tổ,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
61,Phường Hàng Bạc,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
