province,store_id,pos,acc_name,acc_num
Hà Nội,001,ShopDunk 143 Thái Hà - Hà Nội,CỬA HÀNG SHOPDUNK - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562046
Hà Nội,002,ShopDunk 414 Nguyễn Trãi - Hà Nội,CỬA HÀNG SHOPDUNK 4 - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562038
Hà Nội,003,ShopDunk 12 Láng Hạ - Hà Nội,ĐỊA ĐIỂM KINH DOANH - CỬA HÀNG SHOPDUNK LÁNG HẠ - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562021
Hà Nội,004,ShopDunk 2 Hàng Bài - Hà Nội,ĐỊA ĐIỂM KINH DOANH SHOPDUNK HÀNG BÀI - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562011
Hà Nội,005,ShopDunk 76 Thái Hà - Hà Nội,ĐỊA ĐIỂM KINH DOANH SHOPDUNK THÁI HÀ - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562054
Hà Nội,006,ShopDunk 386 Cầu Giấy - Hà Nội,ĐỊA ĐIỂM KINH DOANH 1- CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562666
Hà Nội,007,ShopDunk 281 Hồ Tùng Mậu - Hà Nội,ĐỊA ĐIỂM KINH DOANH 2 - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562127
Hà Nội,008,ShopDunk FLC Cầu Giấy - Hà Nội,ĐỊA ĐIỂM KINH DOANH 4 - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562119
Hà Nội,009,ShopDunk Minh Khai - Hà Nội,ĐỊA ĐIỂM KINH DOANH 5 - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562097
Hà Nội,010,ShopDunk Tôn Đức Thắng - Hà Nội,ĐỊA ĐIỂM KINH DOANH TÔN ĐỨC THẮNG - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562135
Hồ Chí Minh,011,ShopDunk 133 đường 3/2 - HCM,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036927538011
Hồ Chí Minh,012,ShopDunk 467 Quang Trung - HCM,CỬA HÀNG SHOPDUNK - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036927538021
Hồ Chí Minh,013,ShopDunk 120 Phan Đang Lưu - HCM,ĐỊA ĐIỂM KINH DOANH SHOPDUNK PHAN ĐĂNG LƯU - CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036927538151
Hồ Chí Minh,014,ShopDunk 392 Hoàng Diệu - HCM,ĐỊA ĐIỂM KINH DOANH SHOPDUNK HOÀNG DIỆU - CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036927538143
Hồ Chí Minh,015,ShopDunk 201 Nguyễn Thị Minh Khai - HCM,ĐỊA ĐIỂM KINH DOANH SHOPDUNK NGUYỄN THỊ MINH KHAI - CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036927538161
